GAME_DATE,OPPONENT,IS_HOME,MURRAY_OUT,WON_GAME,SEASON_AVG_REB,ROLL_3_REB,ROLL_5_REB,ROLL_10_REB,HEAD2HEAD_AVG_REB,OPP_REB,OPP_DEF_RATING,OPP_PACE,IS_HOME,DAYS_RESTED,WON_GAME,MURRAY_OUT,SEASON_AVG_REB_MURRAY_OUT,REB
2022-02-27,POR,0,1,1,13.703703703703704,13.0,13.8,13.6,8.818181818181818,44.0,110.31797534068784,0.4280555555555556,0,1.0,1,1,12.67948717948718,18
2022-03-02,OKC,1,1,0,13.78181818181818,13.333333333333334,14.4,13.8,12.2,44.666666666666664,105.44761436301032,0.4366174496644295,1,3.0,0,1,12.746835443037977,16
2022-03-06,NOP,1,1,1,13.821428571428571,14.666666666666666,14.6,14.2,9.833333333333334,47.0,115.04189386886551,0.4177222222222222,1,4.0,1,1,12.7875,12
2022-03-07,GSW,1,1,1,13.789473684210526,15.333333333333334,13.6,14.2,13.6,39.333333333333336,111.81379580127783,0.4260555555555556,1,1.0,1,1,12.77777777777778,15
2022-03-09,SAC,0,1,1,13.810344827586206,14.333333333333334,14.2,14.6,10.833333333333334,44.666666666666664,109.99230374551053,0.433111111111111,0,2.0,1,1,12.804878048780488,18
2022-03-10,GSW,1,1,0,13.88135593220339,15.0,15.8,14.8,13.833333333333334,44.333333333333336,112.3882503192848,0.4349999999999999,1,1.0,0,1,12.867469879518072,12
2022-03-12,TOR,1,1,0,13.85,15.0,14.6,14.5,12.0,46.666666666666664,111.03678929765888,0.4152777777777778,1,2.0,0,1,12.857142857142858,10
2022-03-14,PHI,0,1,1,13.78688524590164,13.333333333333334,13.4,14.0,9.666666666666666,44.333333333333336,107.51659009698824,0.4207248322147651,0,2.0,1,1,12.823529411764708,13
2022-03-16,WAS,0,1,1,13.774193548387096,11.666666666666666,13.6,13.6,12.333333333333334,39.0,115.1025397256553,0.4090555555555555,0,2.0,1,1,12.825581395348838,13
2022-03-18,CLE,0,1,0,13.761904761904765,12.0,13.2,13.7,12.333333333333334,42.666666666666664,109.5604099244876,0.3981744966442953,0,2.0,0,1,12.827586206896552,10
2022-03-20,BOS,1,1,0,13.703125,12.0,11.6,13.7,10.666666666666666,47.0,114.87811711964136,0.3965555555555555,1,2.0,0,1,12.795454545454543,8
2022-03-22,LAC,1,1,1,13.615384615384617,10.333333333333334,10.8,12.7,13.166666666666666,41.666666666666664,114.71890513887026,0.4140555555555555,1,2.0,1,1,12.741573033707866,14
2022-03-24,PHX,1,1,0,13.62121212121212,10.666666666666666,11.6,12.5,13.375,47.333333333333336,124.0719030871434,0.4121879194630872,1,2.0,0,1,12.755555555555556,6
2022-03-26,OKC,1,1,1,13.507462686567164,9.333333333333334,10.2,11.9,12.833333333333334,44.333333333333336,108.56533901691756,0.4170555555555555,1,2.0,1,1,12.68131868131868,12
2022-03-28,CHA,0,1,1,13.485294117647058,10.666666666666666,10.0,11.6,14.0,47.666666666666664,117.69710720363018,0.3917777777777778,0,2.0,1,1,12.673913043478262,19
2022-03-30,IND,0,1,1,13.565217391304348,12.333333333333334,11.8,11.7,13.0,31.333333333333332,106.79153752863498,0.4122777777777777,0,2.0,1,1,12.741935483870968,13
2022-04-01,MIN,1,1,0,13.557142857142855,14.666666666666666,12.8,11.8,14.333333333333334,41.0,108.92527066279376,0.4207777777777778,1,2.0,0,1,12.74468085106383,19
2022-04-03,LAL,0,1,1,13.633802816901408,17.0,13.8,12.7,11.5,38.666666666666664,124.43153107630116,0.4250201342281879,0,2.0,1,1,12.810526315789474,18
2022-04-05,SAS,1,1,0,13.694444444444445,16.666666666666668,16.2,13.2,13.0,44.0,119.77263499796994,0.4105,1,2.0,0,1,12.864583333333334,17
2022-04-07,MEM,1,1,1,13.73972602739726,18.0,17.2,13.6,12.333333333333334,46.333333333333336,108.74984419793094,0.4307651006711409,1,2.0,1,1,12.90721649484536,16
2022-04-16,GSW,0,0,0,13.77027027027027,17.0,16.6,14.2,13.571428571428571,45.666666666666664,119.20707206000536,0.4147777777777778,0,9.0,0,0,,10
2022-04-18,GSW,0,0,0,13.72,14.333333333333334,16.0,14.4,13.125,44.333333333333336,121.875,0.4,0,2.0,0,0,,11
2022-04-21,GSW,1,0,0,13.68421052631579,12.333333333333334,14.4,14.1,12.88888888888889,39.0,129.53545904343048,0.4042222222222221,1,3.0,0,0,,18
2022-04-24,GSW,1,0,1,13.74025974025974,13.0,14.4,15.3,13.4,35.333333333333336,125.4100601421542,0.4064444444444444,1,3.0,1,0,,8
2022-04-27,GSW,0,0,0,13.666666666666666,12.333333333333334,12.6,14.9,12.909090909090908,33.666666666666664,120.8769373426944,0.4193888888888889,0,3.0,0,0,,19
2022-10-21,GSW,0,1,1,4.0,,,,13.416666666666666,48.0,105.92490527040992,0.4838333333333333,0,2.0,1,1,12.93877551020408,12
2022-10-22,OKC,1,0,1,8.0,,,,12.714285714285714,57.0,102.19530658591977,0.4403333333333333,1,1.0,1,0,,16
2022-10-24,POR,0,0,0,10.666666666666666,10.666666666666666,,,9.583333333333334,48.0,108.70980341101416,0.4124026845637584,0,2.0,0,0,,9
2022-10-26,LAL,1,0,1,10.25,12.333333333333334,,,12.8,43.333333333333336,97.17431679490583,0.4187777777777777,1,2.0,1,0,,13
2022-10-28,UTA,1,0,1,10.8,12.666666666666666,10.8,,11.571428571428571,48.666666666666664,105.7524332418268,0.4302818791946309,1,2.0,1,0,,10
2022-10-30,LAL,0,0,0,10.666666666666666,10.666666666666666,12.0,,12.833333333333334,48.666666666666664,99.0950802956921,0.4358888888888888,0,2.0,0,0,,14
2022-11-03,OKC,0,0,1,11.142857142857142,12.333333333333334,12.4,,13.125,39.666666666666664,111.09001139384732,0.4241073825503356,0,4.0,1,0,,13
2022-11-05,SAS,1,0,1,11.375,12.333333333333334,11.8,,13.571428571428571,44.333333333333336,99.33985019677542,0.437611111111111,1,2.0,1,0,,6
2022-11-07,SAS,0,0,1,10.77777777777778,11.0,11.2,,12.625,36.333333333333336,98.89189537430742,0.4311666666666667,0,2.0,1,0,,8
2022-11-09,IND,0,0,1,10.5,9.0,10.2,10.5,13.0,41.666666666666664,106.48322653599698,0.4421666666666667,0,2.0,1,0,,4
2022-11-11,BOS,0,0,0,9.909090909090908,6.0,9.0,10.5,10.0,40.666666666666664,122.9889642334796,0.4178333333333333,0,2.0,0,0,,8
2022-11-13,CHI,0,0,1,9.75,6.666666666666667,7.8,10.1,13.666666666666666,43.333333333333336,108.19062790388956,0.4185,0,2.0,1,0,,6
2022-11-22,DET,1,0,0,9.461538461538462,6.0,6.4,9.1,13.25,38.333333333333336,110.44176706827312,0.4288333333333333,1,9.0,0,0,,9
2022-11-23,OKC,0,1,1,9.428571428571429,7.666666666666667,7.0,9.1,13.11111111111111,39.333333333333336,114.24467946207078,0.4255,0,1.0,1,1,12.929292929292927,10
2022-11-25,LAC,0,0,1,9.466666666666669,8.333333333333334,7.4,8.8,13.285714285714286,43.0,104.83566301473368,0.4411666666666666,0,2.0,1,0,,13
2022-11-28,HOU,1,0,1,9.6875,10.666666666666666,9.2,9.1,12.2,52.333333333333336,117.65462260511764,0.4320555555555556,1,3.0,1,0,,12
2022-11-30,HOU,1,0,1,9.823529411764708,11.666666666666666,10.0,8.9,12.166666666666666,49.666666666666664,115.7317859445519,0.4308333333333333,1,2.0,1,0,,9
2022-12-02,ATL,0,0,0,9.77777777777778,11.333333333333334,10.6,8.5,12.25,44.333333333333336,110.80711354309167,0.406111111111111,0,2.0,0,0,,10
2022-12-04,NOP,0,0,0,9.789473684210526,10.333333333333334,10.8,8.9,10.142857142857142,50.0,110.93143596377747,0.4294444444444444,0,2.0,0,0,,16
2022-12-06,DAL,1,0,0,10.1,11.666666666666666,12.0,9.7,13.0,40.333333333333336,121.93540018160589,0.4139060402684564,1,2.0,0,0,,8
2022-12-08,POR,0,0,1,10.0,11.333333333333334,11.0,10.1,9.538461538461538,46.333333333333336,114.98516320474778,0.4118888888888889,0,2.0,1,0,,10
2022-12-10,UTA,1,0,1,10.0,11.333333333333334,10.6,10.3,11.375,41.333333333333336,113.531047265987,0.4196111111111111,1,2.0,1,0,,12
2022-12-14,WAS,1,0,1,10.08695652173913,10.0,11.2,10.9,12.5,44.0,109.26333150082463,0.4042222222222221,1,4.0,1,0,,14
